PPI,min_score,max_score,avg_score
7avw-model-57_A_Z,-4.09087801,4.168365002,1.154964089
7avw-model-58_A_Z,-4.024879932,2.4932127,-0.783939242
7avw-model-59_A_Z,-4.807598114,2.372085571,-0.559043407
7avw-model-60_A_Z,-7.372751713,3.588077307,-1.277156591
7avw-model-61_A_Z,-6.917065144,2.935535908,-1.243787289
7avw-model-62_A_Z,-7.347443581,2.686434746,-0.820341408
7avw-model-63_A_Z,-4.109638691,2.323983908,-0.607489467
7avw-model-64_A_Z,-3.581272364,3.969084978,0.482500285
7avw-model-65_A_Z,-8.806118965,2.650212049,-2.295869112
7avw-model-66_A_Z,-2.50890398,2.479388237,0.147022098
7avw-model-67_A_Z,-3.353188276,1.474749327,-0.993561983
7avw-model-68_A_Z,-6.622626305,2.881276369,-0.72623086
7avw-model-69_A_Z,-7.366866589,3.717643023,-1.368756294
7avw-model-70_A_Z,-3.44263792,3.587472439,0.902472198
7avw-model-71_A_Z,-4.327442646,2.07255578,-0.357078373
7avw-model-72_A_Z,-5.925035954,1.253917217,-1.627500296
7avw-model-73_A_Z,-3.418159723,2.629594803,-0.330467373
7avw-model-74_A_Z,-4.119530678,2.079380989,-0.687285185
7avw-model-75_A_Z,-4.950909138,4.056451797,0.308457345
7avw-model-76_A_Z,-6.210742474,2.240782022,-1.136125684
7avw-model-77_A_Z,-4.217656136,1.808769941,-1.163466096
7avw-model-78_A_Z,-8.633113861,2.191217661,-2.309321642
7avw-model-79_A_Z,-5.436504841,2.562388897,-1.053115129
7avw-model-80_A_Z,-3.223237991,1.693991899,-0.878441453
7avw-model-81_A_Z,-6.367133141,2.546164513,-0.160908401
7avw-model-82_A_Z,-5.074235439,2.049139977,-0.442900658
7avw-model-83_A_Z,-9.23568058,1.605219722,-2.049344301
7avw-model-84_A_Z,-4.942130089,3.266731262,-0.019708812
7avw-model-85_A_Z,-7.024579525,2.316031218,-1.034849882
7avw-model-86_A_Z,-3.301241398,4.186095238,0.989248633
7avw-model-87_A_Z,-3.773833275,1.608310342,-0.93736583
7avw-model-88_A_Z,-6.960449219,2.812018633,-1.088337183
7avw-model-89_A_Z,-9.552414894,3.842662096,-1.850606561
7avw-model-90_A_Z,-3.162933826,1.919843435,-0.314838409
7avw-model-91_A_Z,-7.821146488,1.981130004,-2.143385649
7avw-model-92_A_Z,-7.572301865,2.479635239,-1.408875108
7avw-model-93_A_Z,-3.880417347,2.676968575,-0.165887371
7avw-model-94_A_Z,-5.614058495,2.445370913,-1.11449337
7avw-model-95_A_Z,-8.775745392,3.041657209,-0.802153826
7avw-model-96_A_Z,-6.389602661,1.904859304,-0.009437731
7avw-model-97_A_Z,-6.140435219,2.006616354,-1.56362164
7avw-model-98_A_Z,-4.900339603,2.321608782,-0.940482974
7avw-model-99_A_Z,-3.864401579,1.671216607,-0.675828457
7avw-model-100_A_Z,-7.212744713,3.608994246,-0.3311961
7qwv-model-1_A_Z,-2.649208784,6.335374832,2.170746803
7qwv-model-2_A_Z,-5.038236141,3.041120529,-1.020310521
7qwv-model-3_A_Z,-2.814460039,3.818248749,0.623083889
7qwv-model-4_A_Z,-5.170015812,2.967192411,-0.430588454
7qwv-model-5_A_Z,-3.209190369,4.043852806,0.989460409
7qwv-model-6_A_Z,-4.589211941,3.598721504,-0.394067556
7qwv-model-7_A_Z,-5.125319481,4.251491547,-1.023295999
7qwv-model-8_A_Z,-4.256495476,4.918390274,0.560158491
7qwv-model-9_A_Z,-3.578997612,3.355937004,0.130526945
7qwv-model-10_A_Z,-7.902462959,2.045960426,-2.499149323
7qwv-model-11_A_Z,-5.844141006,2.492828846,-1.041917443
7qwv-model-12_A_Z,-3.781189919,2.573977232,-0.143128753
7qwv-model-13_A_Z,-8.318689346,1.077818871,-2.673257113
7qwv-model-14_A_Z,-5.039392948,3.696202993,-0.116605639
7qwv-model-15_A_Z,-5.693067551,2.04556179,-1.812962174
7qwv-model-16_A_Z,-6.794974327,3.028564453,-1.547130823
7qwv-model-17_A_Z,-5.006587029,3.092589378,-0.495586544
7qwv-model-18_A_Z,-5.914185047,1.040180206,-1.139367104
7qwv-model-19_A_Z,-4.647063255,2.906968594,-0.342943609
7qwv-model-20_A_Z,-5.604376793,4.216705799,0.124207772
7qwv-model-21_A_Z,-5.823516369,3.663476944,-1.226180911
7qwv-model-22_A_Z,-2.706233501,4.563640118,0.93266207
7qwv-model-23_A_Z,-8.376422882,1.15590024,-2.445803642
7qwv-model-24_A_Z,-4.724319458,5.264090538,-0.493022174
7qwv-model-25_A_Z,-3.786239147,6.289968491,1.402614474
7qwv-model-26_A_Z,-6.724428177,2.571025133,-0.994340122
7qwv-model-27_A_Z,-6.315469742,1.640412569,-1.470499277
7qwv-model-28_A_Z,-7.317408085,0.943636477,-2.387872219
7qwv-model-29_A_Z,-7.157503128,3.185587645,-0.714342833
7qwv-model-30_A_Z,-5.353388309,2.415747643,-0.939713597
7qwv-model-31_A_Z,-4.502021313,2.648080826,-0.46908766
7qwv-model-32_A_Z,-4.963403225,3.053875923,-0.695775032
7qwv-model-33_A_Z,-6.614731789,1.693765879,-2.618995905
7qwv-model-34_A_Z,-2.195799351,4.628229618,1.675820827
7qwv-model-35_A_Z,-4.201062679,1.808145285,-0.346083343
7qwv-model-36_A_Z,-7.690890789,1.219039559,-2.411230803
7qwv-model-37_A_Z,-5.137052536,4.733727932,0.765577555
7qwv-model-38_A_Z,-4.355296612,3.445278883,-0.067604706
7qwv-model-39_A_Z,-5.183087349,1.901530504,-2.038183451
7qwv-model-40_A_Z,-4.307267666,2.769935131,-0.140044808
7qwv-model-41_A_Z,-3.786755085,2.742043257,-0.495579422
7qwv-model-42_A_Z,-5.505883217,4.032475948,-0.348131627
7qwv-model-43_A_Z,-4.857833862,3.560180664,0.551787794
7qwv-model-44_A_Z,-6.229507446,4.375580788,-0.957828999
7qwv-model-45_A_Z,-5.139433861,2.350796223,-0.446096003
7qwv-model-46_A_Z,-4.318683624,2.041002512,-0.797480047
7qwv-model-47_A_Z,-2.973813772,3.331845284,0.375639796
7qwv-model-48_A_Z,-6.913762093,1.732347012,-1.750810146
7qwv-model-49_A_Z,-8.165241241,4.707513809,-0.662614882
7qwv-model-50_A_Z,-6.274914742,4.015283108,-0.396012217
7qwv-model-51_A_Z,-8.145688057,1.799660683,-2.431779623
7qwv-model-52_A_Z,-4.377725601,3.499501467,0.142719328
7qwv-model-53_A_Z,-3.548887968,3.899682999,0.065665506
7qwv-model-54_A_Z,-3.610705853,4.741103172,0.632268429
7qwv-model-55_A_Z,-5.414951801,5.436570168,0.833005548
7qwv-model-56_A_Z,-8.711900711,5.324473381,-1.683552146
7qwv-model-57_A_Z,-5.714208603,2.349564314,-0.515147984
7qwv-model-58_A_Z,-5.659937859,2.792685032,-0.45334363
7qwv-model-59_A_Z,-4.486075401,2.978601933,-0.279028267
7qwv-model-60_A_Z,-4.969627857,4.38609314,0.384727299
7qwv-model-61_A_Z,-5.170700073,2.777441025,-1.166198611
7qwv-model-62_A_Z,-8.142126083,2.214191914,-2.962821722
7qwv-model-63_A_Z,-2.955102921,3.019598961,0.764183879
7qwv-model-64_A_Z,-4.984184742,4.390474319,0.08689303
7qwv-model-65_A_Z,-5.217057705,3.956753731,-0.821348369
7qwv-model-66_A_Z,-6.154574871,1.875259638,-1.642980337
7qwv-model-67_A_Z,-4.869098663,3.751810551,-0.19203724
7qwv-model-68_A_Z,-3.299367428,4.946871758,0.854632378
7qwv-model-69_A_Z,-6.286709785,1.224025726,-2.198924541
7qwv-model-70_A_Z,-4.432563782,3.344451904,-0.373235643
7qwv-model-71_A_Z,-4.097393036,3.885478258,0.072969802
7qwv-model-72_A_Z,-5.747927666,4.37754631,-0.830482423
7qwv-model-73_A_Z,-1.278795004,3.962171316,1.335481048
7qwv-model-74_A_Z,-2.748667717,2.726730108,-0.042570882
7qwv-model-75_A_Z,-5.887351513,1.189834476,-1.818417311
7qwv-model-76_A_Z,-3.904495478,2.265654087,-0.767526388
7qwv-model-77_A_Z,-7.689763546,2.495960712,-2.897941828
7qwv-model-78_A_Z,-4.867975235,4.099853992,-0.069508396
7qwv-model-79_A_Z,-4.584117413,2.342227697,-0.410105735
7qwv-model-80_A_Z,-5.259811878,2.894183397,-0.111164361
7qwv-model-81_A_Z,-5.955534935,3.017295361,-1.130066633
7qwv-model-82_A_Z,-4.880191803,5.088887215,0.836856544
7qwv-model-83_A_Z,-6.045873642,1.378479362,-2.287703514
7qwv-model-84_A_Z,-6.514689922,2.604168177,-2.476271391
7qwv-model-85_A_Z,-2.866360188,1.666582942,-0.162614077
7qwv-model-86_A_Z,-2.174282551,3.502120018,0.652161956
7qwv-model-87_A_Z,-4.644114494,5.167198181,0.21770443
7qwv-model-88_A_Z,-7.00651741,2.904510736,-1.070753098
7qwv-model-89_A_Z,-5.157504559,3.257647753,-0.395944059
7qwv-model-90_A_Z,-5.916125298,2.056771278,-1.21469748
7qwv-model-91_A_Z,-6.852589607,1.172677875,-2.115585804
7qwv-model-92_A_Z,-7.145841122,2.121934414,-2.156212568
7qwv-model-93_A_Z,-4.705321789,2.142425537,-0.542878866
7qwv-model-94_A_Z,-6.838654041,1.599837899,-1.789276958
7qwv-model-95_A_Z,-4.200706482,5.231043816,0.599311113
7qwv-model-96_A_Z,-4.995512486,1.418774605,-1.578788519
7qwv-model-97_A_Z,-7.185478687,2.06166625,-1.551902771
7qwv-model-98_A_Z,-5.232732773,1.493790865,-0.951969326
7qwv-model-99_A_Z,-6.745211601,0.565842509,-2.033385992
7qwv-model-100_A_Z,-6.674191475,1.515629292,-2.482324362
7scs-model-1_A_Z,-3.838622093,4.648602009,1.32849741
7scs-model-2_A_Z,-4.105500698,2.30848527,-0.658478081
7scs-model-3_A_Z,-2.671104908,3.695680618,0.801962912
7scs-model-4_A_Z,-3.43130064,3.029066086,0.120674632
7scs-model-5_A_Z,-4.583123684,2.660281181,-0.573349237
7scs-model-6_A_Z,-3.022217274,1.732338309,-0.693985999
7scs-model-7_A_Z,-2.42600441,3.152964115,0.653580904
7scs-model-8_A_Z,-4.120900631,1.268805742,-0.827246785
7scs-model-9_A_Z,-3.986905336,2.486944199,0.202737138
7scs-model-10_A_Z,-5.058711052,3.560192108,-0.630820751
7scs-model-11_A_Z,-5.289950848,1.574970365,-1.558565974
7scs-model-12_A_Z,-5.35748148,1.841973305,-1.734972119
7scs-model-13_A_Z,-6.3764925,2.531468153,-1.334137321
7scs-model-14_A_Z,-4.300650597,2.510164261,-0.225865945
7scs-model-15_A_Z,-5.839242935,2.516167402,-1.04932785
7scs-model-16_A_Z,-4.112736702,1.822954059,-0.856522202
7scs-model-17_A_Z,-5.101880074,2.892099142,-1.46343267
7scs-model-18_A_Z,-4.514272213,1.47273016,-1.187430382
7scs-model-19_A_Z,-3.376926899,2.770804167,-0.064774625
7scs-model-20_A_Z,-4.886405468,2.689519644,-1.38853693
7scs-model-21_A_Z,-4.379000187,0.996684611,-1.409255624
7scs-model-22_A_Z,-5.295576572,2.055337667,-0.990978181
7scs-model-23_A_Z,-3.985019922,3.314109087,0.053829513
7scs-model-24_A_Z,-4.43690443,1.41191268,-0.894274473
7scs-model-25_A_Z,-6.045427322,1.529661894,-1.999384761
7scs-model-26_A_Z,-3.841734886,2.783579588,0.247549564
7scs-model-27_A_Z,-6.804712772,2.745861292,-1.670587063
7scs-model-28_A_Z,-3.079152107,2.297410488,-0.266557902
7scs-model-29_A_Z,-3.889817476,3.105149746,0.063408561
7scs-model-30_A_Z,-2.740059376,2.897654057,0.421186388
7scs-model-31_A_Z,-2.991958618,6.255374908,-0.428539991
7scs-model-32_A_Z,-3.156699181,3.340828896,-0.291614503
7scs-model-33_A_Z,-3.85230875,3.072310686,-0.800104082
7scs-model-34_A_Z,-3.468684196,1.67948699,-0.138704896
7scs-model-35_A_Z,-2.827718735,3.937347651,0.400941968
7scs-model-36_A_Z,-2.620562315,3.492247581,0.422449976
7scs-model-37_A_Z,-3.609868526,3.224774122,0.51165843
7scs-model-38_A_Z,-3.874146938,3.87238574,1.059320927
7scs-model-39_A_Z,-2.69308567,5.53567028,0.296677887
7scs-model-40_A_Z,-3.417844772,0.84123379,-0.995447695
7scs-model-41_A_Z,-5.199635029,2.270174742,-1.422991872
7scs-model-42_A_Z,-3.689787865,4.21577549,-0.002898377
7scs-model-43_A_Z,-2.387510061,3.066953659,0.375144422
7scs-model-44_A_Z,-4.04532671,1.92180872,-1.226949215
7scs-model-45_A_Z,-5.239465237,2.552208424,-1.558981895
7scs-model-46_A_Z,-5.442933559,1.122396708,-1.740479827
7scs-model-47_A_Z,-7.356347561,2.470324278,-1.877242088
7scs-model-48_A_Z,-3.601018429,2.515975237,-0.394031256
7scs-model-49_A_Z,-5.05229187,1.540484428,-1.476308942
7scs-model-50_A_Z,-6.138090134,1.783264995,-1.312603235
7scs-model-51_A_Z,-5.101760387,2.006014585,-0.986140788
7scs-model-52_A_Z,-2.865967035,3.358323812,-0.22685416
7scs-model-53_A_Z,-3.82608223,6.364825249,-0.39824453
7scs-model-54_A_Z,-3.639754057,2.39107275,0.120090105
7scs-model-55_A_Z,-3.990067005,2.85311079,-0.386560231
7scs-model-56_A_Z,-3.627058744,2.744091749,-0.334670812
7scs-model-57_A_Z,-4.495162964,2.237257957,-1.183751345
7scs-model-58_A_Z,-5.119379044,1.2796731,-0.825573266
7scs-model-59_A_Z,-3.382259369,2.100056648,-0.802952647
7scs-model-60_A_Z,-5.219164371,1.892319083,-1.292218685
7scs-model-61_A_Z,-3.821175337,1.035128832,-1.266873479
7scs-model-62_A_Z,-2.732072353,2.637172222,0.30298236
7scs-model-63_A_Z,-4.627757072,1.813816905,-1.376934767
7scs-model-64_A_Z,-4.246395588,4.143680573,0.326962322
7scs-model-65_A_Z,-3.894884109,2.431289196,-0.260548383
7scs-model-66_A_Z,-3.786041737,2.722127199,-0.662358582
7scs-model-67_A_Z,-3.506117582,3.153079033,-0.029107515
7scs-model-68_A_Z,-3.771832466,3.804438591,-0.073824905
7scs-model-69_A_Z,-3.749611378,3.132739305,0.306663632
7scs-model-70_A_Z,-4.950592995,1.599605083,-1.303678513
7scs-model-71_A_Z,-4.210922241,2.834507942,-0.84139508
7scs-model-72_A_Z,-5.300356865,1.599951386,-1.007659316
7scs-model-73_A_Z,-5.423349857,3.347146988,-1.550770879
7scs-model-74_A_Z,-5.651702881,2.302436829,-1.673358679
7scs-model-75_A_Z,-6.644843578,1.333347559,-2.24296546
7scs-model-76_A_Z,-6.229445457,2.105169773,-1.327697635
7scs-model-77_A_Z,-5.0145998,1.718519092,-1.343478799
7scs-model-78_A_Z,-5.088753223,1.898782969,-1.350687385
7scs-model-79_A_Z,-3.582707882,1.590165019,-0.062046561
7scs-model-80_A_Z,-2.486492634,2.218475103,0.073926307
7scs-model-81_A_Z,-4.594279766,3.112043858,-0.747226775
7scs-model-82_A_Z,-4.138845444,3.063075066,0.254820317
7scs-model-83_A_Z,-4.933307648,2.165302753,-1.128872871
7scs-model-84_A_Z,-5.183717728,2.565479279,-1.916746736
7scs-model-85_A_Z,-3.00082159,3.043934345,0.470096081
7scs-model-86_A_Z,-3.880013227,2.783337831,-0.618226528
7scs-model-87_A_Z,-3.848629713,2.446247101,-0.730504274
7scs-model-88_A_Z,-3.75589633,2.839167595,0.174767092
7scs-model-89_A_Z,-2.208959103,3.055183411,0.532299876
7scs-model-90_A_Z,-3.413783073,2.873934984,-0.144766986
7scs-model-91_A_Z,-2.790878773,2.532108784,0.456058025
7scs-model-92_A_Z,-4.151481152,4.032873154,-0.336176872
7scs-model-93_A_Z,-4.921315193,2.389503479,-0.707495153
7scs-model-94_A_Z,-6.115106583,1.442196012,-1.845725179
7scs-model-95_A_Z,-3.237633228,2.492298603,-0.34258011
7scs-model-96_A_Z,-5.30542326,1.442146182,-1.12676394
7scs-model-97_A_Z,-6.367366791,1.682910204,-1.92105794
7scs-model-98_A_Z,-5.355520725,2.233561277,-1.516564965
7scs-model-99_A_Z,-5.069149494,2.067127228,-1.552691817
7scs-model-100_A_Z,-3.153399706,2.931773901,0.405115992
7sza-model-1_A_Z,-3.266617775,5.034597397,1.528561831
7sza-model-2_A_Z,-3.615064621,3.897264719,0.973771513
7sza-model-3_A_Z,-3.551265717,3.334481478,0.032581296
7sza-model-4_A_Z,-4.552671909,3.705757618,0.781031251
7sza-model-5_A_Z,-1.706851959,4.13598156,1.534531236
7sza-model-6_A_Z,-3.419858217,3.229419708,0.161802053
7sza-model-7_A_Z,-5.025594711,2.660583496,-0.489633054
7sza-model-8_A_Z,-6.784295559,2.301906586,-1.776043296
7sza-model-9_A_Z,-3.99932313,3.089787483,0.258982182
7sza-model-10_A_Z,-6.021454811,2.841972828,-0.317543834
7sza-model-11_A_Z,-4.718783379,3.805933952,-0.332790822
7sza-model-12_A_Z,-7.425442696,1.421566844,-1.892433643
7sza-model-13_A_Z,-0.800600827,3.906802177,1.853700161
7sza-model-14_A_Z,-4.03655386,2.725692749,-0.893845916
7sza-model-15_A_Z,-3.809728861,3.196521521,-0.611139536
7sza-model-16_A_Z,-10.93638706,2.718052149,-2.019334316
7sza-model-17_A_Z,-4.554051876,3.187644482,-0.605165303
7sza-model-18_A_Z,-5.261394978,3.359528542,-0.229891554
7sza-model-19_A_Z,-6.612822533,3.328581333,-1.086517096
7sza-model-20_A_Z,-5.512674809,2.647310495,-0.295633972
7sza-model-21_A_Z,-4.58144474,3.849823952,-0.481846064
7sza-model-22_A_Z,-4.396615028,3.30732584,0.102583893
7sza-model-23_A_Z,-9.482746124,2.704321146,-0.552431524
7sza-model-24_A_Z,-8.043103218,3.532248735,-1.425544381
7sza-model-25_A_Z,-3.187770367,3.044060707,0.08948157
7sza-model-26_A_Z,-4.038543701,4.318408966,0.177613735
7sza-model-27_A_Z,-8.538282394,2.7687006,-1.386074901
7sza-model-28_A_Z,-7.495876312,4.577415943,-1.744127512
7sza-model-29_A_Z,-6.678599358,2.306974888,-1.284234166
7sza-model-30_A_Z,-6.318853378,2.685966253,-1.59680295
7sza-model-31_A_Z,-3.172162056,3.084204435,0.262527198
7sza-model-32_A_Z,-5.827821732,2.04208684,-1.105511069
7sza-model-33_A_Z,-8.916575432,2.351823092,-1.857419372
7sza-model-34_A_Z,-2.918497086,3.666875839,0.508797824
7sza-model-35_A_Z,-3.237434626,2.811653137,0.330523998
7sza-model-36_A_Z,-4.678295135,2.648087978,0.433346629
7sza-model-37_A_Z,-4.719822884,2.885684013,-0.714213908
7sza-model-38_A_Z,-7.10430336,1.187031507,-2.677296162
7sza-model-39_A_Z,-5.871408939,4.499670029,-0.439282328
7sza-model-40_A_Z,-9.330791473,2.594115257,-2.700012207
7sza-model-41_A_Z,-3.512544155,5.098427296,0.841575623
7sza-model-42_A_Z,-9.833604813,2.351138353,-2.027093649
7sza-model-43_A_Z,-5.017718315,2.528467417,-0.570126832
7sza-model-44_A_Z,-4.680463791,2.514753819,-0.455969006
7sza-model-45_A_Z,-4.432373047,3.290546417,-0.170172393
7sza-model-46_A_Z,-3.741085291,3.013474464,0.33976993
7sza-model-47_A_Z,-4.018587589,5.437637806,0.36052987
7sza-model-48_A_Z,-4.99519825,2.316018105,-1.136359453
7sza-model-49_A_Z,-4.031001091,4.372408867,0.937549055
7sza-model-50_A_Z,-2.768027306,2.996700764,0.263267964
7sza-model-51_A_Z,-6.968749046,1.36056757,-1.756991506
7sza-model-52_A_Z,-7.375554085,2.916378498,-1.162398696
7sza-model-53_A_Z,-5.041051865,2.436651468,-0.833021522
7sza-model-54_A_Z,-9.070703506,3.886807203,-1.830576897
7sza-model-55_A_Z,-6.02259922,1.719785333,-1.348232746
7sza-model-56_A_Z,-7.184649944,2.725924969,-1.459235191
7sza-model-57_A_Z,-6.948589325,2.632798195,-1.795248032
7sza-model-58_A_Z,-7.193268776,3.57280159,-0.020259138
7sza-model-59_A_Z,-5.500224113,4.02593565,-0.024982814
7sza-model-60_A_Z,-2.413999081,3.455612183,0.371382356
7sza-model-61_A_Z,-8.331030846,3.190516233,-0.703466475
7sza-model-62_A_Z,-5.806929588,2.724022865,-0.621549308
7sza-model-63_A_Z,-5.541414261,2.337223291,-0.087723874
7sza-model-64_A_Z,-4.063251972,2.07831502,-0.75329572
7sza-model-65_A_Z,-5.843132019,3.184544563,-0.936763763
7sza-model-66_A_Z,-4.894670486,3.571451187,-0.273885697
7sza-model-67_A_Z,-7.232794762,2.871252775,-1.331915021
7sza-model-68_A_Z,-4.714075565,3.640427351,0.286193818
7sza-model-69_A_Z,-5.16850996,2.006690264,-1.351786733
7sza-model-70_A_Z,-11.50422192,2.175140858,-3.576771975
7sza-model-71_A_Z,-3.790414333,3.866609573,0.286001384
7sza-model-72_A_Z,-7.692277908,2.729862213,-1.36927259
7sza-model-73_A_Z,-6.22837162,1.878324628,-1.677916408
7sza-model-74_A_Z,-10.05235386,2.79236865,-1.830410242
7sza-model-75_A_Z,-7.363270283,1.900205374,-1.052231431
7sza-model-76_A_Z,-6.987039089,3.780756235,-0.903701484
7sza-model-77_A_Z,-11.56731796,3.434801579,-2.902177095
7sza-model-78_A_Z,-3.84056735,3.253539562,-0.201484039
7sza-model-79_A_Z,-5.800236225,2.055854321,-0.929455042
7sza-model-80_A_Z,-3.777938843,3.975422382,0.184035391
7sza-model-81_A_Z,-5.944223404,2.720208645,-0.741882384
7sza-model-82_A_Z,-4.589889526,2.405064106,-0.554524958
7sza-model-83_A_Z,-8.262013435,2.716646671,-2.058718681
7sza-model-84_A_Z,-8.847726822,3.040928364,-2.01360774
7sza-model-85_A_Z,-4.074496269,3.483669758,-0.238922656
7sza-model-86_A_Z,-6.828985214,2.243657112,-1.506059527
7sza-model-87_A_Z,-4.611266136,5.114264011,0.7215119
7sza-model-88_A_Z,-3.551766634,3.179102182,0.304512948
7sza-model-89_A_Z,-4.536035061,2.555727482,-0.067899644
7sza-model-90_A_Z,-6.76243639,5.392434597,0.544424593
7sza-model-91_A_Z,-2.306558609,4.284072399,1.485486388
7sza-model-92_A_Z,-6.180202007,3.088925838,-0.916438937
7sza-model-93_A_Z,-3.642751217,5.296434402,1.048852921
7sza-model-94_A_Z,-3.870537043,3.155891418,-0.196261197
7sza-model-95_A_Z,-4.239413738,2.384880781,-0.144534737
7sza-model-96_A_Z,-4.148803234,2.633192301,-0.162519291
7sza-model-97_A_Z,-7.394894123,3.123322725,-0.940160394
7sza-model-98_A_Z,-4.233882904,2.232987404,-0.194656625
7sza-model-99_A_Z,-3.622448206,3.038028002,0.06909436
7sza-model-100_A_Z,-11.95667934,2.491133451,-2.898597002
7tvj-model-1_A_Z,-5.06490612,3.728061914,0.256031364
7tvj-model-2_A_Z,-5.099802017,2.443452597,-0.515946746
7tvj-model-3_A_Z,-4.564218998,3.653060198,0.224548832
7tvj-model-4_A_Z,-6.219020844,2.430216551,-1.741297603
7tvj-model-5_A_Z,-6.339684963,1.830098391,-1.602836132
7tvj-model-6_A_Z,-2.946395874,3.621448278,0.850351155
7tvj-model-7_A_Z,-2.762618065,4.266294956,0.870762467
7tvj-model-8_A_Z,-7.065067768,1.764594555,-2.358649015
7tvj-model-9_A_Z,-1.854221821,3.9289217,1.373630047
7tvj-model-10_A_Z,-4.15792942,1.283229947,-0.901229918
7tvj-model-11_A_Z,-5.207848072,3.710568666,0.633684158
7tvj-model-12_A_Z,-8.56962204,1.128023148,-2.937648535
7tvj-model-13_A_Z,-6.544662476,2.981654167,-0.880880594
7tvj-model-14_A_Z,-5.184945583,1.994284987,-1.020629764
7tvj-model-15_A_Z,-5.737405777,1.891477704,-1.84517312
7tvj-model-16_A_Z,-3.586214542,1.611876965,-0.871382117
7tvj-model-17_A_Z,-4.718417645,3.034648418,0.038227491
7tvj-model-18_A_Z,-7.056886196,2.073740721,-1.292748332
7tvj-model-19_A_Z,-6.535228729,0.745313525,-2.384067774
7tvj-model-20_A_Z,-6.576693058,1.087642193,-2.546248674
7tvj-model-21_A_Z,-2.513767958,2.152541399,-0.035577212
7tvj-model-22_A_Z,-6.573851585,2.60882473,-1.660406709
7tvj-model-23_A_Z,-3.769416332,2.265856743,-0.460603505
