Input,Score,PPI
7avw-model-53,0.0898,7avw-model-53_A_Z
7avw-model-54,0.2274,7avw-model-54_A_Z
7avw-model-55,0.2274,7avw-model-55_A_Z
7avw-model-56,0.5978,7avw-model-56_A_Z
7avw-model-57,0.1748,7avw-model-57_A_Z
7avw-model-58,0.2274,7avw-model-58_A_Z
7avw-model-59,0.2287,7avw-model-59_A_Z
7avw-model-6,0.2053,7avw-model-6_A_Z
7avw-model-60,0.2274,7avw-model-60_A_Z
7avw-model-61,0.1028,7avw-model-61_A_Z
7avw-model-62,0.0915,7avw-model-62_A_Z
7avw-model-63,0.2274,7avw-model-63_A_Z
7avw-model-64,0.0713,7avw-model-64_A_Z
7avw-model-65,0.2274,7avw-model-65_A_Z
7avw-model-66,0.1098,7avw-model-66_A_Z
7avw-model-67,0.2274,7avw-model-67_A_Z
7avw-model-68,0.1057,7avw-model-68_A_Z
7avw-model-69,0.2274,7avw-model-69_A_Z
7avw-model-7,0.0828,7avw-model-7_A_Z
7avw-model-70,0.0833,7avw-model-70_A_Z
7avw-model-71,0.0791,7avw-model-71_A_Z
7avw-model-72,0.2274,7avw-model-72_A_Z
7avw-model-73,0.1545,7avw-model-73_A_Z
7avw-model-74,0.2183,7avw-model-74_A_Z
7avw-model-75,0.1553,7avw-model-75_A_Z
7avw-model-76,0.2274,7avw-model-76_A_Z
7avw-model-77,0.2286,7avw-model-77_A_Z
7avw-model-78,0.2274,7avw-model-78_A_Z
7avw-model-79,0.2517,7avw-model-79_A_Z
7avw-model-8,0.2274,7avw-model-8_A_Z
7avw-model-80,0.0545,7avw-model-80_A_Z
7avw-model-81,0.2395,7avw-model-81_A_Z
7avw-model-82,0.3182,7avw-model-82_A_Z
7avw-model-83,0.2274,7avw-model-83_A_Z
7avw-model-84,0.1559,7avw-model-84_A_Z
7avw-model-85,0.1481,7avw-model-85_A_Z
7avw-model-86,0.0962,7avw-model-86_A_Z
7avw-model-87,0.2274,7avw-model-87_A_Z
7avw-model-88,0.2436,7avw-model-88_A_Z
7avw-model-89,0.2315,7avw-model-89_A_Z
7avw-model-9,0.0675,7avw-model-9_A_Z
7avw-model-90,0.0618,7avw-model-90_A_Z
7avw-model-91,0.2274,7avw-model-91_A_Z
7avw-model-92,0.2274,7avw-model-92_A_Z
7avw-model-93,0.2274,7avw-model-93_A_Z
7avw-model-94,0.1084,7avw-model-94_A_Z
7avw-model-95,0.1959,7avw-model-95_A_Z
7avw-model-96,0.1519,7avw-model-96_A_Z
7avw-model-97,0.2274,7avw-model-97_A_Z
7avw-model-98,0.2274,7avw-model-98_A_Z
7avw-model-99,0.1952,7avw-model-99_A_Z
7qwv-model-1,0.1492,7qwv-model-1_A_Z
7qwv-model-10,0.0376,7qwv-model-10_A_Z
7qwv-model-100,0.1858,7qwv-model-100_A_Z
7qwv-model-11,0.1491,7qwv-model-11_A_Z
7qwv-model-12,0.0717,7qwv-model-12_A_Z
7qwv-model-13,0.0611,7qwv-model-13_A_Z
7qwv-model-14,0.2106,7qwv-model-14_A_Z
7qwv-model-15,0.152,7qwv-model-15_A_Z
7qwv-model-16,0.1949,7qwv-model-16_A_Z
7qwv-model-17,0.0933,7qwv-model-17_A_Z
7qwv-model-18,0.0954,7qwv-model-18_A_Z
7qwv-model-19,0.1363,7qwv-model-19_A_Z
7qwv-model-2,0.1399,7qwv-model-2_A_Z
7qwv-model-20,0.4455,7qwv-model-20_A_Z
7qwv-model-21,0.1203,7qwv-model-21_A_Z
7qwv-model-22,0.3441,7qwv-model-22_A_Z
7qwv-model-23,0.112,7qwv-model-23_A_Z
7qwv-model-24,0.087,7qwv-model-24_A_Z
7qwv-model-25,0.1107,7qwv-model-25_A_Z
7qwv-model-26,0.0877,7qwv-model-26_A_Z
7qwv-model-27,0.1089,7qwv-model-27_A_Z
7qwv-model-28,0.129,7qwv-model-28_A_Z
7qwv-model-29,0.0508,7qwv-model-29_A_Z
7qwv-model-3,0.1934,7qwv-model-3_A_Z
7qwv-model-30,0.1291,7qwv-model-30_A_Z
7qwv-model-31,0.1902,7qwv-model-31_A_Z
7qwv-model-32,0.2806,7qwv-model-32_A_Z
7qwv-model-33,0.1277,7qwv-model-33_A_Z
7qwv-model-34,0.2109,7qwv-model-34_A_Z
7qwv-model-35,0.2846,7qwv-model-35_A_Z
7qwv-model-36,0.0613,7qwv-model-36_A_Z
7qwv-model-37,0.1141,7qwv-model-37_A_Z
7qwv-model-38,0.1117,7qwv-model-38_A_Z
7qwv-model-39,0.1188,7qwv-model-39_A_Z
7qwv-model-4,0.2049,7qwv-model-4_A_Z
7qwv-model-40,0.0992,7qwv-model-40_A_Z
7qwv-model-41,0.2432,7qwv-model-41_A_Z
7qwv-model-42,0.1342,7qwv-model-42_A_Z
7qwv-model-43,0.1266,7qwv-model-43_A_Z
7qwv-model-44,0.0654,7qwv-model-44_A_Z
7qwv-model-45,0.2463,7qwv-model-45_A_Z
7qwv-model-46,0.1254,7qwv-model-46_A_Z
7qwv-model-47,0.0964,7qwv-model-47_A_Z
7qwv-model-48,0.1372,7qwv-model-48_A_Z
7qwv-model-49,0.2824,7qwv-model-49_A_Z
7qwv-model-5,0.241,7qwv-model-5_A_Z
7qwv-model-50,0.0665,7qwv-model-50_A_Z
7qwv-model-51,0.0637,7qwv-model-51_A_Z
7qwv-model-52,0.0806,7qwv-model-52_A_Z
7qwv-model-53,0.1541,7qwv-model-53_A_Z
7qwv-model-54,0.1236,7qwv-model-54_A_Z
7qwv-model-55,0.5145,7qwv-model-55_A_Z
7qwv-model-56,0.0537,7qwv-model-56_A_Z
7qwv-model-57,0.1415,7qwv-model-57_A_Z
7qwv-model-58,0.0926,7qwv-model-58_A_Z
7qwv-model-59,0.1338,7qwv-model-59_A_Z
7qwv-model-6,0.2879,7qwv-model-6_A_Z
7qwv-model-60,0.1248,7qwv-model-60_A_Z
7qwv-model-61,0.2935,7qwv-model-61_A_Z
7qwv-model-62,0.1061,7qwv-model-62_A_Z
7qwv-model-63,0.1515,7qwv-model-63_A_Z
7qwv-model-64,0.2114,7qwv-model-64_A_Z
7qwv-model-65,0.0944,7qwv-model-65_A_Z
7qwv-model-66,0.0551,7qwv-model-66_A_Z
7qwv-model-67,0.1635,7qwv-model-67_A_Z
7qwv-model-68,0.093,7qwv-model-68_A_Z
7qwv-model-69,0.2223,7qwv-model-69_A_Z
7qwv-model-7,0.1326,7qwv-model-7_A_Z
7qwv-model-70,0.1311,7qwv-model-70_A_Z
7qwv-model-71,0.0806,7qwv-model-71_A_Z
7qwv-model-72,0.1488,7qwv-model-72_A_Z
7qwv-model-73,0.2631,7qwv-model-73_A_Z
7qwv-model-74,0.2138,7qwv-model-74_A_Z
7qwv-model-75,0.1253,7qwv-model-75_A_Z
7qwv-model-76,0.106,7qwv-model-76_A_Z
7qwv-model-77,0.1014,7qwv-model-77_A_Z
7qwv-model-78,0.0787,7qwv-model-78_A_Z
7qwv-model-79,0.1156,7qwv-model-79_A_Z
7qwv-model-8,0.1319,7qwv-model-8_A_Z
7qwv-model-80,0.2121,7qwv-model-80_A_Z
7qwv-model-81,0.1946,7qwv-model-81_A_Z
7qwv-model-82,0.0903,7qwv-model-82_A_Z
7qwv-model-83,0.0629,7qwv-model-83_A_Z
7qwv-model-84,0.0866,7qwv-model-84_A_Z
7qwv-model-85,0.4517,7qwv-model-85_A_Z
7qwv-model-86,0.179,7qwv-model-86_A_Z
7qwv-model-87,0.0494,7qwv-model-87_A_Z
7qwv-model-88,0.0956,7qwv-model-88_A_Z
7qwv-model-89,0.1082,7qwv-model-89_A_Z
7qwv-model-9,0.19,7qwv-model-9_A_Z
7qwv-model-90,0.1003,7qwv-model-90_A_Z
7qwv-model-91,0.0735,7qwv-model-91_A_Z
7qwv-model-92,0.0629,7qwv-model-92_A_Z
7qwv-model-93,0.0631,7qwv-model-93_A_Z
7qwv-model-94,0.0781,7qwv-model-94_A_Z
7qwv-model-95,0.1485,7qwv-model-95_A_Z
7qwv-model-96,0.1436,7qwv-model-96_A_Z
7qwv-model-97,0.1047,7qwv-model-97_A_Z
7qwv-model-98,0.4257,7qwv-model-98_A_Z
7qwv-model-99,0.0552,7qwv-model-99_A_Z
7scs-model-1,0.1468,7scs-model-1_A_Z
7scs-model-10,0.2271,7scs-model-10_A_Z
7scs-model-100,0.0696,7scs-model-100_A_Z
7scs-model-11,0.0456,7scs-model-11_A_Z
7scs-model-12,0.0969,7scs-model-12_A_Z
7scs-model-13,0.2296,7scs-model-13_A_Z
7scs-model-14,0.0888,7scs-model-14_A_Z
7scs-model-15,0.1392,7scs-model-15_A_Z
7scs-model-16,0.0867,7scs-model-16_A_Z
7scs-model-17,0.1357,7scs-model-17_A_Z
7scs-model-18,0.0952,7scs-model-18_A_Z
7scs-model-19,0.105,7scs-model-19_A_Z
7scs-model-2,0.1528,7scs-model-2_A_Z
7scs-model-20,0.1178,7scs-model-20_A_Z
7scs-model-21,0.0998,7scs-model-21_A_Z
7scs-model-22,0.0741,7scs-model-22_A_Z
7scs-model-23,0.1059,7scs-model-23_A_Z
7scs-model-24,0.1855,7scs-model-24_A_Z
7scs-model-25,0.1355,7scs-model-25_A_Z
7scs-model-26,0.122,7scs-model-26_A_Z
7scs-model-27,0.084,7scs-model-27_A_Z
7scs-model-28,0.0858,7scs-model-28_A_Z
7scs-model-29,0.1418,7scs-model-29_A_Z
7scs-model-3,0.1088,7scs-model-3_A_Z
7scs-model-30,0.0446,7scs-model-30_A_Z
7scs-model-31,0.0887,7scs-model-31_A_Z
7scs-model-32,0.6729,7scs-model-32_A_Z
7scs-model-33,0.2491,7scs-model-33_A_Z
7scs-model-34,0.2738,7scs-model-34_A_Z
7scs-model-35,0.0545,7scs-model-35_A_Z
7scs-model-36,0.0876,7scs-model-36_A_Z
7scs-model-37,0.2153,7scs-model-37_A_Z
7scs-model-38,0.2601,7scs-model-38_A_Z
7scs-model-39,0.1047,7scs-model-39_A_Z
7scs-model-4,0.0709,7scs-model-4_A_Z
7scs-model-40,0.1112,7scs-model-40_A_Z
7scs-model-41,0.2544,7scs-model-41_A_Z
7scs-model-42,0.0976,7scs-model-42_A_Z
7scs-model-43,0.1888,7scs-model-43_A_Z
7scs-model-44,0.1976,7scs-model-44_A_Z
7scs-model-45,0.2666,7scs-model-45_A_Z
7scs-model-46,0.0941,7scs-model-46_A_Z
7scs-model-47,0.0838,7scs-model-47_A_Z
7scs-model-48,0.1551,7scs-model-48_A_Z
7scs-model-49,0.1882,7scs-model-49_A_Z
7scs-model-5,0.0967,7scs-model-5_A_Z
7scs-model-50,0.0521,7scs-model-50_A_Z
7scs-model-51,0.3062,7scs-model-51_A_Z
7scs-model-52,0.1293,7scs-model-52_A_Z
7scs-model-53,0.2092,7scs-model-53_A_Z
7scs-model-54,0.095,7scs-model-54_A_Z
7scs-model-55,0.0674,7scs-model-55_A_Z
7scs-model-56,0.3142,7scs-model-56_A_Z
7scs-model-57,0.101,7scs-model-57_A_Z
7scs-model-58,0.0862,7scs-model-58_A_Z
7scs-model-59,0.2268,7scs-model-59_A_Z
7scs-model-6,0.141,7scs-model-6_A_Z
7scs-model-60,0.0552,7scs-model-60_A_Z
7scs-model-61,0.1172,7scs-model-61_A_Z
7scs-model-62,0.0738,7scs-model-62_A_Z
7scs-model-63,0.0898,7scs-model-63_A_Z
7scs-model-64,0.0976,7scs-model-64_A_Z
7scs-model-65,0.0789,7scs-model-65_A_Z
7scs-model-66,0.1522,7scs-model-66_A_Z
7scs-model-67,0.0999,7scs-model-67_A_Z
7scs-model-68,0.2417,7scs-model-68_A_Z
7scs-model-69,0.0995,7scs-model-69_A_Z
7scs-model-7,0.1356,7scs-model-7_A_Z
7scs-model-70,0.1045,7scs-model-70_A_Z
7scs-model-71,0.1307,7scs-model-71_A_Z
7scs-model-72,0.108,7scs-model-72_A_Z
7scs-model-73,0.0668,7scs-model-73_A_Z
7scs-model-74,0.0945,7scs-model-74_A_Z
7scs-model-75,0.2677,7scs-model-75_A_Z
7scs-model-76,0.0846,7scs-model-76_A_Z
7scs-model-77,0.1192,7scs-model-77_A_Z
7scs-model-78,0.1207,7scs-model-78_A_Z
7scs-model-79,0.1761,7scs-model-79_A_Z
7scs-model-8,0.1435,7scs-model-8_A_Z
7scs-model-80,0.0922,7scs-model-80_A_Z
7scs-model-81,0.0927,7scs-model-81_A_Z
7scs-model-82,0.1423,7scs-model-82_A_Z
7scs-model-83,0.1311,7scs-model-83_A_Z
7scs-model-84,0.1963,7scs-model-84_A_Z
7scs-model-85,0.1041,7scs-model-85_A_Z
7scs-model-86,0.0919,7scs-model-86_A_Z
7scs-model-87,0.1567,7scs-model-87_A_Z
7scs-model-88,0.0847,7scs-model-88_A_Z
7scs-model-89,0.2422,7scs-model-89_A_Z
7scs-model-9,0.1745,7scs-model-9_A_Z
7scs-model-90,0.0937,7scs-model-90_A_Z
7scs-model-91,0.1326,7scs-model-91_A_Z
7scs-model-92,0.259,7scs-model-92_A_Z
7scs-model-93,0.2182,7scs-model-93_A_Z
7scs-model-94,0.0958,7scs-model-94_A_Z
7scs-model-95,0.275,7scs-model-95_A_Z
7scs-model-96,0.0995,7scs-model-96_A_Z
7scs-model-97,0.1219,7scs-model-97_A_Z
7scs-model-98,0.1932,7scs-model-98_A_Z
7scs-model-99,0.1592,7scs-model-99_A_Z
7sza-model-1,0.052,7sza-model-1_A_Z
7sza-model-10,0.2973,7sza-model-10_A_Z
7sza-model-100,0.2399,7sza-model-100_A_Z
7sza-model-11,0.2658,7sza-model-11_A_Z
7sza-model-12,0.1956,7sza-model-12_A_Z
7sza-model-13,0.1832,7sza-model-13_A_Z
7sza-model-14,0.2502,7sza-model-14_A_Z
7sza-model-15,0.0931,7sza-model-15_A_Z
7sza-model-16,0.2662,7sza-model-16_A_Z
7sza-model-17,0.1822,7sza-model-17_A_Z
7sza-model-18,0.1298,7sza-model-18_A_Z
7sza-model-19,0.3049,7sza-model-19_A_Z
7sza-model-2,0.1017,7sza-model-2_A_Z
7sza-model-20,0.4569,7sza-model-20_A_Z
7sza-model-21,0.0885,7sza-model-21_A_Z
7sza-model-22,0.2589,7sza-model-22_A_Z
7sza-model-23,0.1734,7sza-model-23_A_Z
7sza-model-24,0.1022,7sza-model-24_A_Z
7sza-model-25,0.2054,7sza-model-25_A_Z
7sza-model-26,0.3679,7sza-model-26_A_Z
7sza-model-27,0.1129,7sza-model-27_A_Z
7sza-model-28,0.2928,7sza-model-28_A_Z
7sza-model-29,0.1454,7sza-model-29_A_Z
7sza-model-3,0.2359,7sza-model-3_A_Z
7sza-model-30,0.092,7sza-model-30_A_Z
7sza-model-31,0.2615,7sza-model-31_A_Z
7sza-model-32,0.1476,7sza-model-32_A_Z
7sza-model-33,0.142,7sza-model-33_A_Z
7sza-model-34,0.2953,7sza-model-34_A_Z
7sza-model-35,0.1862,7sza-model-35_A_Z
7sza-model-36,0.2412,7sza-model-36_A_Z
7sza-model-37,0.097,7sza-model-37_A_Z
7sza-model-38,0.2027,7sza-model-38_A_Z
7sza-model-39,0.2146,7sza-model-39_A_Z
7sza-model-4,0.1616,7sza-model-4_A_Z
7sza-model-40,0.1679,7sza-model-40_A_Z
7sza-model-41,0.276,7sza-model-41_A_Z
7sza-model-42,0.2583,7sza-model-42_A_Z
7sza-model-43,0.2549,7sza-model-43_A_Z
7sza-model-44,0.1527,7sza-model-44_A_Z
7sza-model-45,0.124,7sza-model-45_A_Z
7sza-model-46,0.2384,7sza-model-46_A_Z
7sza-model-47,0.2979,7sza-model-47_A_Z
7sza-model-48,0.1145,7sza-model-48_A_Z
7sza-model-49,0.3155,7sza-model-49_A_Z
7sza-model-5,0.1543,7sza-model-5_A_Z
7sza-model-50,0.2729,7sza-model-50_A_Z
7sza-model-51,0.2208,7sza-model-51_A_Z
7sza-model-52,0.2274,7sza-model-52_A_Z
7sza-model-53,0.2274,7sza-model-53_A_Z
7sza-model-54,0.1345,7sza-model-54_A_Z
7sza-model-55,0.2218,7sza-model-55_A_Z
7sza-model-56,0.1066,7sza-model-56_A_Z
7sza-model-57,0.0939,7sza-model-57_A_Z
7sza-model-58,0.0729,7sza-model-58_A_Z
7sza-model-59,0.1717,7sza-model-59_A_Z
7sza-model-6,0.0766,7sza-model-6_A_Z
7sza-model-60,0.2035,7sza-model-60_A_Z
7sza-model-61,0.1919,7sza-model-61_A_Z
7sza-model-62,0.1647,7sza-model-62_A_Z
7sza-model-63,0.2702,7sza-model-63_A_Z
7sza-model-64,0.2274,7sza-model-64_A_Z
7sza-model-65,0.1623,7sza-model-65_A_Z
7sza-model-66,0.2868,7sza-model-66_A_Z
7sza-model-67,0.2274,7sza-model-67_A_Z
7sza-model-68,0.0821,7sza-model-68_A_Z
7sza-model-69,0.1267,7sza-model-69_A_Z
7sza-model-7,0.109,7sza-model-7_A_Z
7sza-model-70,0.2208,7sza-model-70_A_Z
7sza-model-71,0.1018,7sza-model-71_A_Z
7sza-model-72,0.2274,7sza-model-72_A_Z
7sza-model-73,0.1153,7sza-model-73_A_Z
7sza-model-74,0.1843,7sza-model-74_A_Z
7sza-model-75,0.2288,7sza-model-75_A_Z
7sza-model-76,0.1772,7sza-model-76_A_Z
7sza-model-77,0.0977,7sza-model-77_A_Z
7sza-model-78,0.141,7sza-model-78_A_Z
7sza-model-79,0.1428,7sza-model-79_A_Z
7sza-model-8,0.2911,7sza-model-8_A_Z
7sza-model-80,0.2274,7sza-model-80_A_Z
7sza-model-81,0.1385,7sza-model-81_A_Z
7sza-model-82,0.3253,7sza-model-82_A_Z
7sza-model-83,0.2087,7sza-model-83_A_Z
7sza-model-84,0.2296,7sza-model-84_A_Z
7sza-model-85,0.2274,7sza-model-85_A_Z
7sza-model-86,0.0637,7sza-model-86_A_Z
7sza-model-87,0.1014,7sza-model-87_A_Z
7sza-model-88,0.2274,7sza-model-88_A_Z
7sza-model-89,0.108,7sza-model-89_A_Z
7sza-model-9,0.1903,7sza-model-9_A_Z
7sza-model-90,0.092,7sza-model-90_A_Z
7sza-model-91,0.1669,7sza-model-91_A_Z
7sza-model-92,0.2274,7sza-model-92_A_Z
7sza-model-93,0.107,7sza-model-93_A_Z
7sza-model-94,0.1856,7sza-model-94_A_Z
7sza-model-95,0.2081,7sza-model-95_A_Z
7sza-model-96,0.2351,7sza-model-96_A_Z
7sza-model-97,0.1442,7sza-model-97_A_Z
7sza-model-98,0.1238,7sza-model-98_A_Z
7sza-model-99,0.1931,7sza-model-99_A_Z
7tvj-model-1,0.0776,7tvj-model-1_A_Z
7tvj-model-10,0.43,7tvj-model-10_A_Z
7tvj-model-100,0.1135,7tvj-model-100_A_Z
7tvj-model-11,0.1854,7tvj-model-11_A_Z
7tvj-model-12,0.2146,7tvj-model-12_A_Z
7tvj-model-13,0.3686,7tvj-model-13_A_Z
7tvj-model-14,0.2756,7tvj-model-14_A_Z
7tvj-model-15,0.1841,7tvj-model-15_A_Z
7tvj-model-16,0.0747,7tvj-model-16_A_Z
7tvj-model-17,0.1465,7tvj-model-17_A_Z
7tvj-model-18,0.2329,7tvj-model-18_A_Z
7tvj-model-19,0.3126,7tvj-model-19_A_Z
7tvj-model-2,0.3218,7tvj-model-2_A_Z
7tvj-model-20,0.1138,7tvj-model-20_A_Z
7tvj-model-21,0.1417,7tvj-model-21_A_Z
7tvj-model-22,0.2666,7tvj-model-22_A_Z
7tvj-model-23,0.1024,7tvj-model-23_A_Z
7tvj-model-24,0.1198,7tvj-model-24_A_Z
7tvj-model-25,0.2421,7tvj-model-25_A_Z
7tvj-model-26,0.1694,7tvj-model-26_A_Z
7tvj-model-27,0.1244,7tvj-model-27_A_Z
7tvj-model-28,0.2032,7tvj-model-28_A_Z
7tvj-model-29,0.2176,7tvj-model-29_A_Z
7tvj-model-3,0.1259,7tvj-model-3_A_Z
7tvj-model-30,0.1588,7tvj-model-30_A_Z
7tvj-model-31,0.2274,7tvj-model-31_A_Z
7tvj-model-32,0.2007,7tvj-model-32_A_Z
7tvj-model-33,0.2742,7tvj-model-33_A_Z
7tvj-model-34,0.1341,7tvj-model-34_A_Z
7tvj-model-35,0.2622,7tvj-model-35_A_Z
7tvj-model-36,0.1164,7tvj-model-36_A_Z
7tvj-model-37,0.0673,7tvj-model-37_A_Z
7tvj-model-38,0.2734,7tvj-model-38_A_Z
7tvj-model-39,0.2664,7tvj-model-39_A_Z
7tvj-model-4,0.2955,7tvj-model-4_A_Z
7tvj-model-40,0.1098,7tvj-model-40_A_Z
7tvj-model-41,0.3085,7tvj-model-41_A_Z
7tvj-model-42,0.1299,7tvj-model-42_A_Z
7tvj-model-43,0.4947,7tvj-model-43_A_Z
7tvj-model-44,0.113,7tvj-model-44_A_Z
7tvj-model-45,0.1995,7tvj-model-45_A_Z
7tvj-model-46,0.2317,7tvj-model-46_A_Z
7tvj-model-47,0.1753,7tvj-model-47_A_Z
7tvj-model-48,0.0696,7tvj-model-48_A_Z
7tvj-model-49,0.0885,7tvj-model-49_A_Z
7tvj-model-5,0.2137,7tvj-model-5_A_Z
7tvj-model-50,0.1095,7tvj-model-50_A_Z
7tvj-model-51,0.1462,7tvj-model-51_A_Z
7tvj-model-52,0.0902,7tvj-model-52_A_Z
7tvj-model-53,0.4269,7tvj-model-53_A_Z
7tvj-model-54,0.3838,7tvj-model-54_A_Z
7tvj-model-55,0.2439,7tvj-model-55_A_Z
7tvj-model-56,0.128,7tvj-model-56_A_Z
7tvj-model-57,0.1098,7tvj-model-57_A_Z
7tvj-model-58,0.111,7tvj-model-58_A_Z
7tvj-model-59,0.0654,7tvj-model-59_A_Z
7tvj-model-6,0.0842,7tvj-model-6_A_Z
7tvj-model-60,0.2016,7tvj-model-60_A_Z
7tvj-model-61,0.1091,7tvj-model-61_A_Z
7tvj-model-62,0.2813,7tvj-model-62_A_Z
7tvj-model-63,0.2369,7tvj-model-63_A_Z
7tvj-model-64,0.2274,7tvj-model-64_A_Z
7tvj-model-65,0.1526,7tvj-model-65_A_Z
7tvj-model-66,0.1185,7tvj-model-66_A_Z
7tvj-model-67,0.2925,7tvj-model-67_A_Z
7tvj-model-68,0.1416,7tvj-model-68_A_Z
7tvj-model-69,0.0981,7tvj-model-69_A_Z
7tvj-model-7,0.0926,7tvj-model-7_A_Z
7tvj-model-70,0.2695,7tvj-model-70_A_Z
7tvj-model-71,0.2983,7tvj-model-71_A_Z
7tvj-model-72,0.1226,7tvj-model-72_A_Z
7tvj-model-73,0.1977,7tvj-model-73_A_Z
7tvj-model-74,0.2497,7tvj-model-74_A_Z
7tvj-model-75,0.1966,7tvj-model-75_A_Z
7tvj-model-76,0.207,7tvj-model-76_A_Z
7tvj-model-77,0.2785,7tvj-model-77_A_Z
7tvj-model-78,0.2395,7tvj-model-78_A_Z
7tvj-model-79,0.3396,7tvj-model-79_A_Z
7tvj-model-8,0.1614,7tvj-model-8_A_Z
7tvj-model-80,0.1323,7tvj-model-80_A_Z
7tvj-model-81,0.1746,7tvj-model-81_A_Z
7tvj-model-82,0.2327,7tvj-model-82_A_Z
7tvj-model-83,0.098,7tvj-model-83_A_Z
7tvj-model-84,0.1084,7tvj-model-84_A_Z
7tvj-model-85,0.2487,7tvj-model-85_A_Z
7tvj-model-86,0.0913,7tvj-model-86_A_Z
7tvj-model-87,0.0653,7tvj-model-87_A_Z
7tvj-model-88,0.1677,7tvj-model-88_A_Z
7tvj-model-89,0.3139,7tvj-model-89_A_Z
7tvj-model-9,0.1308,7tvj-model-9_A_Z
7tvj-model-90,0.3932,7tvj-model-90_A_Z
7tvj-model-91,0.2221,7tvj-model-91_A_Z
7tvj-model-92,0.1092,7tvj-model-92_A_Z
7tvj-model-93,0.2274,7tvj-model-93_A_Z
7tvj-model-94,0.0881,7tvj-model-94_A_Z
7tvj-model-95,0.1205,7tvj-model-95_A_Z
7tvj-model-96,0.1024,7tvj-model-96_A_Z
7tvj-model-97,0.1341,7tvj-model-97_A_Z
7tvj-model-98,0.2349,7tvj-model-98_A_Z
7tvj-model-99,0.2397,7tvj-model-99_A_Z
7u9w-model-1,0.0887,7u9w-model-1_A_Z
7u9w-model-10,0.0894,7u9w-model-10_A_Z
7u9w-model-100,0.1445,7u9w-model-100_A_Z
7u9w-model-11,0.2274,7u9w-model-11_A_Z
7u9w-model-12,0.0911,7u9w-model-12_A_Z
7u9w-model-13,0.0899,7u9w-model-13_A_Z
7u9w-model-14,0.2751,7u9w-model-14_A_Z
7u9w-model-15,0.2274,7u9w-model-15_A_Z
7u9w-model-16,0.1276,7u9w-model-16_A_Z
7u9w-model-17,0.1263,7u9w-model-17_A_Z
7u9w-model-18,0.0647,7u9w-model-18_A_Z
7u9w-model-19,0.2274,7u9w-model-19_A_Z
7u9w-model-2,0.1283,7u9w-model-2_A_Z
7u9w-model-20,0.0917,7u9w-model-20_A_Z
7u9w-model-21,0.4741,7u9w-model-21_A_Z
7u9w-model-22,0.1369,7u9w-model-22_A_Z
7u9w-model-23,0.4025,7u9w-model-23_A_Z
7u9w-model-24,0.2112,7u9w-model-24_A_Z
7u9w-model-25,0.1107,7u9w-model-25_A_Z
7u9w-model-26,0.2274,7u9w-model-26_A_Z
7u9w-model-27,0.1042,7u9w-model-27_A_Z
7u9w-model-28,0.079,7u9w-model-28_A_Z
